정류소ID,업체명,노선번호,노선유형,정류소명,전체 승차 건수,초승 건수,환승 건수,전체 하차 건수,하차 건수,미태그 건수,lon,lat
201000450,경진여객운수(주),3000,직행좌석형시내버스,오목호수공원.서희스타힐즈,8,8,0,5,5,0,126.9670091,37.24840557
201000563,경진여객운수(주),3000,직행좌석형시내버스,오목호수공원.서희스타힐즈,1,0,1,105,105,0,126.9673771,37.24792892
203000064,경기고속,M5107,광역급행형시내버스,e편한세상아파트,37,35,2,1419,1419,0,127.0671989,37.2463915
203000284,경기고속,M5115,광역급행형시내버스,광교휴먼시아32단지정문,18,18,0,0,0,0,127.0661118,37.29224737
203000450,경기고속,M5107,광역급행형시내버스,살구골.서광아파트,1289,1116,173,12,12,0,127.0731418,37.24734091
201000429,경진여객운수(주),7790,직행좌석형시내버스,한국방송통신대학교,3,3,0,90,90,0,126.9584033,37.24184206
201000199,(주)용남고속버스라인,7002,직행좌석형시내버스,선일초등학교,20,18,2,0,0,0,127.0288936,37.24755833
201000200,(주)용남고속버스라인,7002,직행좌석형시내버스,곡반초등학교,4,1,3,0,0,0,127.0366659,37.24599002
201000268,(주)용남고속버스라인,7002,직행좌석형시내버스,곡반중학교,0,0,0,7,7,0,127.034254,37.24608082
201000382,(주)용남고속버스라인,7002,직행좌석형시내버스,농수산물사거리,19,18,1,0,0,0,127.0284296,37.25264499
201000403,(주)용남고속버스라인,7002,직행좌석형시내버스,권선자이.e편한세상,0,0,0,37,37,0,127.0286736,37.25382411
201000430,(주)용남고속버스라인,7002,직행좌석형시내버스,수원아이파크시티.선일초교,1,1,0,20,20,0,127.028889,37.24727379
