mybi_id,bis_id,stn_nm,lon,lat
2507030,31380,농수산시장.메가박스,127.114649,35.868558
2507040,31310,면허시험장월드컵경기장,127.068692,35.86282
2507050,31313,면허시험장월드컵경기장,127.069593,35.863811
2507060,32016,월드컵경기장입구,127.06886399999999,35.863863
2507070,31079,명주골네거리.대자인병원,127.15287839999999,35.84548171
2507080,31084,명주골네거리.대자인병원,127.15306899999999,35.845872
2507090,30879,모래내,127.1437315,35.83203886
2507100,30864,모래내,127.1438408,35.83167509
2507120,30898,모래내시장,127.14490330000001,35.83301705
2507130,30900,모래내시장,127.14549769999999,35.83305726
2507140,31515,미산초교,127.10936070000001,35.88305057
2507140,31514,미산초교,127.10996000000002,35.883059
2507150,31516,미산초교,127.10935400000001,35.883346
2507160,31518,미산초교,127.109714,35.883089
2507180,32290,반월동농협,127.063826,35.873944
2507190,32291,반월동농협,127.0640424,35.87422617
2507200,31425,반월동 삼오아파트,127.0701631,35.8741509
2507210,31422,반월동 삼오아파트,127.07028999999999,35.873888
2507220,31420,반월주공아파트.오네뜨아파트,127.0726102,35.87383249
2507230,31424,반월주공아파트.오네뜨아파트,127.07245900000001,35.87412321
2507240,31461,반월초교.세움펠리피아2차,127.075644,35.875921999999996
2507250,31449,반월초교.세움펠리피아2차,127.07578970000002,35.87566609
2507260,31402,발단마을,127.11469699999999,35.871365999999995
2507270,31394,발단마을,127.11496899999999,35.8713261
2507280,31326,방죽안마을,127.0277449,35.8650958
2507290,31328,방죽안마을,127.0276018,35.86518307
2507300,31032,배나무골,127.13868959999999,35.84124683
2507320,31376,배미실새터,127.15973190000001,35.86917369
2507330,31374,배미실새터,127.160048,35.867996999999995
2507340,31547,백석네거리,127.12990500000001,35.886758
2507350,31548,백석네거리,127.12969939999999,35.88698345
2507360,31557,백석마을,127.127647,35.888387
2507370,31560,백석마을,127.12777,35.88834
2507380,31523,백석제,127.128543,35.884032
2507390,31522,백석제,127.128752,35.884006
2507400,31028,백자동,127.17091289999999,35.84109586
2507410,31038,백자동,127.1716453,35.84183281
2507430,31022,백자삼거리,127.172273,35.841251
2507440,30936,가리내로 백제교,127.124605,35.834990999999995
2507450,30946,가리내로 백제교,127.12591929999999,35.83487104
2507460,31055,전북대학병원입구,127.14276399999999,35.843528000000006
2507470,31069,전북대학병원입구,127.14535009999999,35.84466416
2507480,31068,동전주우체국,127.1466499,35.84463013
2507490,31026,전북대정문.덕진소방서,127.133365,35.841088
2507500,31019,전주덕진소방서,127.134004,35.840953000000006
2507510,30967,종합경기장,127.12465900000001,35.836405
2507520,30961,종합경기장,127.12520759999998,35.83627383
2507530,31091,덕진보건소.한국전기안전공사전북본부,127.155193,35.847489
2507540,31015,한국건강관리협회,127.1195962,35.83993218
2507550,31017,한국건강관리협회,127.120534,35.840423
2507560,31309,호성동주민센터,127.149974,35.864133
2507570,31293,전주출입국외국인사무소,127.150719,35.862876
2507580,31342,부동마을,127.0462187,35.86626607
2507590,31344,부동마을,127.0460874,35.866307
2507600,31018,북일초교,127.15489709999999,35.84067342
2507610,31020,북일초교,127.1552127,35.84087789
2507620,31383,대송장례식장,127.13514840000002,35.86965462
2507630,32260,화정공원,127.136096,35.870332
2507640,30918,고속버스터미널.불교회관,127.1305492,35.83390745
2507650,30925,고속버스터미널.불교회관,127.13009440000002,35.8343029
2507660,31436,비행장,127.11318999999999,35.874783
2507670,31438,비행장,127.113504,35.87492509
2507680,31056,사대부고사거리,127.1410842,35.84346261
2507690,31045,사대부고사거리,127.13994199999999,35.842693
2507700,31087,한국장애인고용공단전북지사,127.15111709999998,35.84642572
2507710,31040,산정우정신세계아파트,127.166802,35.842040999999995
2507720,31042,산정우정신세계아파트,127.166941,35.842258
2507730,31119,산정마을,127.1731236,35.8495391
2507740,31116,산정마을,127.17335109999999,35.84945892
2507770,32214,삼성문화회관,127.1307982,35.843670200000005
2507810,31552,삼화동,127.0886557,35.88779937
2507820,31553,삼화동,127.08889109999998,35.88784692
2507830,31492,상중마을,127.137206,35.879059999999996
2507840,31493,상중마을,127.137185,35.879486
2507850,31080,새마을금고.한국국토정보공사,127.149528,35.845554
2507860,31391,새전주요양병원,127.073026,35.870636
2507870,31392,새전주요양병원,127.072855,35.870849
2507880,30831,서낭당,127.15423529999998,35.82905338
2507890,30850,서신교,127.12871100000001,35.83022211
2507900,30853,서신교,127.1289452,35.83042842
2507910,31462,성덕,127.03093529999998,35.87645612
2507920,31459,성덕,127.03095479999999,35.87621671
2507930,31312,송북초교,127.1237257,35.8639091
2507940,31306,송북초교,127.12369479999998,35.86363645
2507950,31232,송천1동주민센터,127.1207733,35.85701397
2507970,31249,송천2파출소,127.1180291,35.85863312
2507980,31248,송천동2파출소,127.117815,35.85863312
2507990,32258,송천노인복지센터,127.13086000000001,35.868619
2508000,32259,송천노인복지센터,127.1309916,35.86863502
2508010,31296,송천대명아파트,127.1147869,35.863012299999994
2508020,31307,송천대명아파트,127.1143669,35.86366623
2508030,31323,송천동성원무지개아파트,127.121365,35.865843
2508040,31332,송천동성원무지개아파트,127.1218195,35.86543274
2508050,32011,용소마을제일아파트,127.11479399999999,35.860159
2508060,31267,천일강변아파트,127.11447240000001,35.86004601
2508070,31340,송천롯데아파트,127.1147097,35.8661518
2508080,31348,송천롯데아파트,127.11441979999998,35.86671868
2508090,31228,송천삼거리.송천초교,127.11981999999999,35.856559000000004
2508110,31210,송천삼거리 롯데마트,127.11982420000001,35.85538448
2508150,31162,송천 센트럴파크,127.119477,35.853192
2508180,31317,송천주공2단지,127.12642620000001,35.86405704
2508190,31319,송천주공2단지,127.12708909999998,35.86436962
2508200,31316,천마산로 송천주공2단지,127.127346,35.864102
2508210,32060,송천역네거리,127.12123100000001,35.869032000000004
2508220,32061,송천역네거리,127.12163899999999,35.867376
2508230,31412,송천정보학교,127.125978,35.875561
2508240,31418,송천정보학교,127.127346,35.876583000000004
2508250,31368,송천주공아파트,127.12722079999999,35.86810687
2508260,31362,송천주공아파트,127.127379,35.867602000000005
2508270,31341,송천현대아파트,127.12706100000001,35.86617907
2508280,31343,송천현대아파트,127.12733440000001,35.8662239
2508290,30980,수협도지회,127.13178500000001,35.83728498
2508300,30984,수협도지회,127.131579,35.83746271
2508330,30870,숲정이성당,127.1301771,35.83188092
2508340,30872,숲정이성당,127.1304521,35.83190592
2508350,32183,시외고속간이터미널,127.068676,35.870329999999996
2508360,32184,시외고속간이터미널,127.06941599999999,35.870356
2508370,30927,시외버스터미널,127.1332862,35.83437333
2508380,30922,시외버스터미널,127.1335312,35.83411679
2508390,31600,신미산,127.10235990000001,35.8925611
2508400,31601,신미산,127.10247,35.8926876
